SPECIES,COMMONNAME
Abaeis,
Abaeis nicippe,Sleepy Orange
Abedus,
Abedus herberti,A Giant Water Bug
Abedus herberti herberti,A Giant Water Bug
Abedus herberti utahensis,A Giant Water Bug
Abronia,sand-verbena
Abronia nana,Dwarf Sand-verbena
Abronia nana var. lanciformis,Dwarf Sand-verbena
Abronia nana var. nana,Dwarf Sand-verbena
Abutilon,indian mallow
Abutilon parishii,Pima Indian Mallow
Abutilon reventum,Yellow Indian Mallow
Abutilon thurberi,Thurber Indian Mallow
Acacia,acacia
Acacia farnesiana,Sweet Acacia
Acacia millefolia,Milfoil Prickle-Free
Acacia minuta,Sweet Acacia
Acacia minuta ssp. densiflora,Sweet Acacia
Acacia smallii,Sweet Acacia
Acalypha,copperleaf
Acalypha californica,California Copperleaf
Acanthaceae,acanthus family
Acanthis,
Acanthis flammea,Common Redpoll
Acanthochiton,
Acanthochiton wrightii,Green Stripe
Accipiter,
Accipiter cooperii,Cooper's Hawk
Accipiter gentilis,Northern Goshawk
Accipiter gentilis apache,Apache Northern Goshawk
Accipiter gentilis atricapillus,Northern Goshawk
Accipiter striatus,Sharp-shinned Hawk
Accipitridae,Hawks and Eagles
Achalarus,
Achalarus albociliatus,Skinner's Dusky Wing
Achalarus casica,Desert Hoary Edge
Achalarus toxeus,Coyote Skipper
Achroanthes corymbosa,Madrean Adder's Mouth
Achroanthes montana,Mountain Malaxis
Acipenser,
Acipenser transmontanus,White Sturgeon
Acipenseridae,sturgeons
Acmispon mearnsii var. mearnsii,Mearn's Bird-foot Trefoil
Aconitum,monkshood
Aconitum infectum,Arizona Monkshood
Acrididae,short-horned grasshoppers
Acrolasia nitens,Shining Stick-leaf
Acrolophitus,
Acrolophitus nevadensis,Nevada Point-headed Grasshopper
Acroptilon,
Acroptilon repens,Russian Knapweed
Actaea,baneberry
Actaea arizonica,Arizona Bugbane
Actaea rubra,Red Baneberry
Actitis,
Actitis macularius,Spotted Sandpiper
Adelpha,
Adelpha bredowii,Arizona Sister
Adelpha eulalia,Arizona Sister
Adenophyllum,
Adenophyllum wrightii,Wright's Dogweed
Adhatoda candicans,Arizona Water-willow
Adiantum,maidenhair fern
Adiantum pedatum,American Maidenhair
Adopaeoides,
Adopaeoides prittwitzi,Sunrise Skipper
Aechmophorus,
Aechmophorus clarkii,Clark's Grebe
Aechmophorus occidentalis,Western Grebe
Aechmophrys cerastes,Sidewinder
Aechmophrys cerastes cerastes,Mohave Desert Sidewinder
Aechmophrys cerastes cercobombus,Sonoran Sidewinder
Aechmophrys cerastes laterorepens,Colorado Desert Sidewinder
Aechmophrys pricei,Twin-spotted Rattlesnake
Aechmophrys willardi,Ridge-nosed Rattlesnake
Aechmophrys willardi obscurus,New Mexico Ridge-nosed Rattlesnake
Aechmophrys willardi willardi,Arizona Ridge-nosed Rattlesnake
Aegilops,
Aegilops cylindrica,Jointed Goatgrass
Aegithalidae,
Aegolius,
Aegolius acadicus,Northern Saw-whet Owl
Aellopos,
Aellopos clavipes,A Sphinx Moth
Aellopos titan,Titan Sphinx
Aeoloplides,
Aeoloplides chenopodii,A Grasshopper
Aeronautes,
Aeronautes saxatalis,White-throated Swift
Aeschynomene,jointvetch
Aeschynomene villosa,Sensitive Joint Vetch
Aeshna,
Aeshna dugesi,Arroyo Darner
Aeshna interrupta,Variable Darner
Aeshna interrupta interna,
Aeshna multicolor,Blue-eyed Darner
Aeshna palmata,Paddle-tailed Darner
Aeshna persephone,Persephone's Darner
Aeshna psilus,Turquoise-tipped Darner
Aeshnidae,
Afrida,
Afrida exegens,An Arctiid Moth
Afrida ydatodes,An Arctiid Moth
Agapetus,
Agapetus boulderensis,A Caddisfly
Agapornis,
Agapornis personatus,Yellow-collared Lovebird
Agapornis roseicollis,Rosy-faced Lovebird
Agapostemon,
Agapostemon angelicus,
Agapostemon coloradinus,
Agapostemon femoratus,
Agapostemon melliventris,
Agapostemon nasutus,
Agapostemon obliquus,
Agapostemon sericeus,
Agapostemon splendens,
Agapostemon texanus,
Agapostemon tyleri,
Agapostemon virescens,
Agastache,
Agastache pallida,Barber Giant Hyssop
Agastache rupestris,Thread-leaf Giant Hyssop
Agathon,
Agathon arizonicus,Netwing midge
Agathymus,
Agathymus alliae,Mojave Giant Skipper
Agathymus aryxna,Arizona Giant Skipper
Agathymus baueri,Bauer's Giant Skipper
Agathymus baueri freemani,Freeman's Agave Borer
Agathymus evansi,Huachuca Giant-skipper
Agathymus gentryi,Gentry's Giant-skipper
Agathymus neumoegeni,Neumogen's Giant Skipper
Agathymus polingi,Poling's Giant Skipper
Agavaceae,century-plant family
Agave,agave
Agave arizonica,Arizona agave
Agave chrysantha,Golden Flowered Agave
Agave delamateri,Tonto Basin Agave
Agave haynaldii var utahensis,Utah Agave
Agave kaibabensis,Kaibab Agave
Agave mckelveyana,Mckelvey Agave
Agave murpheyi,Hohokam Agave
Agave palmeri var. chrysantha,Golden Flowered Agave
Agave parviflora,Small-flowered Agave
Agave parviflora ssp. parviflora,Santa Cruz Striped Agave
Agave phillipsiana,Phillips Agave
Agave schottii,Schott Agave
Agave schottii var. treleasei,Trelease Agave
Agave toumeyana,Toumey Agave
Agave toumeyana var. bella,Toumey Agave
Agave utahensis,Utah Agave
Agave utahensis var. kaibabensis,Kaibab Agave
Agave utahensis var. utahensis,Utah Agave
Agave verdensis,Sacred Mountain Agave
Agave x ajoensis,Ajo Agave
Agave x arizonica,Arizona agave
Agave yavapaiensis,Page Springs Agave
Agelaius,
Agelaius phoeniceus,Red-winged Blackbird
Ageneotettix,
Ageneotettix salutator,A Grasshopper
Ageratina,snakeroot
Ageratina lemmonii,Lemmon's Thorough-wort
Ageratina paupercula,Santa Rita Snakeroot
Ageratum,
Ageratum corymbosum,Cluster Daisy
Aglais,
Aglais milberti,Milbert's Tortoiseshell
Agosia,
Agosia chrysogaster,Longfin Dace
Agosia chrysogaster chrysogaster,Gila Longfin Dace
Agosia chrysogaster ssp. 1,Yaqui Longfin Dace
Agraulis,
Agraulis vanillae,Gulf Fritillary
Agriades franklinii,Arctic Blue
Agriades glandon,Arctic Blue
Agrimonia,agrimony
Agrimonia gryposepala,Hook-nosed Agrimony
Agrius,
Agrius cingulata,Pink-spotted Hawkmoth
Agrostis pyramidata,Whorled Dropseed
Aguna,
Aguna asander,Gold-spot Aguna
Agylla,
Agylla septentrionalis,
Ailanthus,tree-of-heaven
Ailanthus altissima,Tree-of-Heaven
Aimophila,
Aimophila botterii,Botteri's Sparrow
Aimophila botterii arizonae,Arizona Botteri's Sparrow
Aimophila carpalis,Rufous-winged Sparrow
Aimophila cassinii,Cassin's Sparrow
Aimophila quinquestriata,Five-striped Sparrow
Aimophila ruficeps,Rufous-crowned Sparrow
Aimophila ruficeps rupicola,Yuma Rufous-crowned Sparrow
Aira aquatica,Water Whorlgrass
Aix,
Aix sponsa,Wood Duck
Ajaja ajaja,Roseate Spoonbill
Alaudidae,larks
Albiorix,
Albiorix anophthalmus,A Cave Obligate Pseudoscorpion
Alcedinidae,
Alectoris,
Alectoris chukar,Chukar
Aletes,
Aletes davidsonii,Davidson Cliff Carrot
Aletes macdougallii,Vagabond Parsnip
Aletes sessiliflorus,Sessileflower Indian Parsley
Alexicles,
Alexicles aspersa,
Alhagi,
Alhagi maurorum,Camelthorn
Aliciella,
Aliciella cliffordii,Clifford's Aliciella
Aliciella haydenii,San Juan Gilia
Alisma,water plantain
